,ih_ind
215,0.6909090909090909
216,0.01818181818181818
217,0.05454545454545454
218,0.6909090909090909
219,0.34545454545454546
220,0.43636363636363634
221,0.6727272727272727
222,0.0
223,0.21818181818181817
224,0.01818181818181818
225,0.05454545454545454
226,0.7454545454545455
227,0.23636363636363636
228,0.36363636363636365
229,0.05454545454545454
230,0.01818181818181818
231,0.2
232,0.14545454545454545
233,0.14545454545454545
234,0.8363636363636363
235,0.0
236,0.07272727272727272
237,0.6545454545454545
238,0.8727272727272727
239,0.3090909090909091
240,0.05454545454545454
241,0.09090909090909091
242,0.01818181818181818
243,0.9272727272727272
244,0.0
245,0.9090909090909091
246,0.3090909090909091
247,0.01818181818181818
248,0.7090909090909091
249,0.03636363636363636
250,0.3090909090909091
251,0.14545454545454545
252,0.34545454545454546
253,0.07272727272727272
254,0.0
255,0.0
256,0.2
257,0.0
258,0.8363636363636363
259,0.05454545454545454
260,0.6727272727272727
261,0.01818181818181818
262,0.2
263,0.18181818181818182
264,0.9454545454545454
265,0.09090909090909091
266,0.14545454545454545
267,0.16363636363636364
268,0.03636363636363636
269,0.43636363636363634
270,0.01818181818181818
271,0.5454545454545454
272,0.9454545454545454
273,0.9454545454545454
274,0.2545454545454545
275,0.41818181818181815
276,0.03636363636363636
277,0.03636363636363636
278,0.5818181818181818
279,0.2545454545454545
280,0.8545454545454545
281,0.8545454545454545
282,0.07272727272727272
283,0.3090909090909091
284,0.01818181818181818
285,0.7636363636363637
286,0.03636363636363636
287,0.05454545454545454
288,0.36363636363636365
289,0.05454545454545454
290,0.03636363636363636
291,0.2909090909090909
292,0.09090909090909091
293,0.01818181818181818
294,0.10909090909090909
295,0.03636363636363636
296,0.10909090909090909
297,0.4909090909090909
298,0.7454545454545455
299,0.9454545454545454
300,0.38181818181818183
301,0.18181818181818182
302,0.0
303,0.03636363636363636
304,0.16363636363636364
305,0.14545454545454545
306,0.01818181818181818
307,0.09090909090909091
308,0.5454545454545454
309,0.6363636363636364
310,0.01818181818181818
311,0.03636363636363636
312,0.01818181818181818
313,0.6363636363636364
314,0.4909090909090909
315,0.01818181818181818
316,0.05454545454545454
317,0.01818181818181818
318,0.0
319,0.4727272727272727
320,0.01818181818181818
321,0.01818181818181818
322,0.01818181818181818
323,0.0
