,ih_class
392,0.4813331308327958
393,0.28804751295886855
394,0.25339714440730815
395,0.7001356690466454
396,0.2997794117581425
397,0.2852334887160942
398,0.2579468292129827
399,0.2786524629449906
400,0.36315098507767135
401,0.29519148641159715
402,0.6006952877225687
403,0.39910865044148547
404,0.5172415414599303
405,0.2818194353127977
406,0.31341050130688447
407,0.5171410261891104
408,0.36782310899025417
409,0.6290828941159406
410,0.47580928144855206
411,0.5019547482937011
412,0.3381263637396311
413,0.23311933924205883
414,0.2569962590831218
415,0.28935232407698847
416,0.2907456637781654
417,0.1455116905587837
418,0.3265912851533116
419,0.27511731099646475
420,0.5571526500127101
421,0.4432372719220899
422,0.37176442943465154
423,0.44765844784509307
424,0.26532549350158513
425,0.532872237051131
426,0.34906535165355473
427,0.27246770697103007
428,0.5564098407210766
429,0.30102791532564327
430,0.3576522359174053
431,0.518230380611765
432,0.33437594818561117
433,0.404542248518029
434,0.6914326134523426
435,0.42782422643937945
436,0.3288281530083944
437,0.27655513690459654
438,0.2648602851197933
439,0.448063922483057
440,0.4882270793034317
441,0.2868774737592319
442,0.250280721718224
443,0.5748813233408089
444,0.292351598489301
445,0.6367695829485879
446,0.3033604001252494
447,0.2884194474869758
448,0.5110774177122208
449,0.42891204954761075
450,0.5852282597006098
451,0.281823395208176
452,0.40485150582320983
453,0.37349723417925307
454,0.23841891379488478
455,0.7256412737962944
456,0.29345678406271825
457,0.2646920866781744
458,0.340862797196912
459,0.5626420819384862
460,0.40905252743070153
461,0.2898593851256579
462,0.2548421565181541
463,0.381879635664222
464,0.2967500819120376
465,0.6333831084673052
466,0.5808660665421004
467,0.45192195230918747
468,0.2523774854639145
469,0.2634675877117581
470,0.2958888823520993
471,0.2644234136733614
472,0.2683739143912854
473,0.5686646721560981
474,0.6815105155493327
475,0.3502946827299817
476,0.7674848481136883
477,0.44992306969029233
478,0.26223330486580476
479,0.31875903706141895
480,0.12398965862556771
481,0.5351645300210633
482,0.6375359105552664
483,0.399786514298218
484,0.2825235548854716
485,0.6184248516091626
486,0.40789849304372305
487,0.5220451512310474
488,0.5578165445703542
489,0.27385120125529044
490,0.2888899577579454
491,0.26464028062805384
492,0.26962446405970963
493,0.2535027803533717
494,0.21724183171897277
495,0.7987609878571721
496,0.6246533058934925
497,0.26028247325796067
498,0.3708829551201606
499,0.6743217031960086
500,0.2951725558379381
501,0.2969171115704385
502,0.6277973884794154
503,0.25593961611735444
504,0.28043098157042196
505,0.2832438622488789
506,0.2854057620317593
507,0.29050729467287617
508,0.5514370088314565
509,0.3604629399551877
510,0.4648781593863043
511,0.26780026397021744
512,0.26535114231974954
513,0.27216673958818555
514,0.48847295409035885
515,0.3286168928101247
516,0.3419636148698939
517,0.18363935659511016
518,0.3628508702722511
519,0.32882362530192116
520,0.2625540422447362
521,0.27037190755003093
522,0.3862740976789212
523,0.2625361820790365
524,0.2683601111333936
525,0.27172250630222183
526,0.35873413132352727
527,0.16568429489498157
528,0.46080411191815696
529,0.5190914831820176
530,0.5916503754349676
531,0.6236133205869013
532,0.27080717855901326
533,0.2533392539136818
534,0.2618773241981375
535,0.3961559180282022
536,0.5942176908103906
537,0.2847350373579691
538,0.4355045455443569
539,0.32305245307399605
540,0.26733868389213805
541,0.4119908142035616
542,0.46247194224808114
543,0.4433538036723772
544,0.6529056301674648
545,0.4446331353842508
546,0.27188701955631334
547,0.64636314853787
548,0.27177840632119415
549,0.292915570700872
550,0.27641314268639017
551,0.5051850509650446
552,0.280294704590737
553,0.41934451775277437
554,0.2739627720364507
555,0.28188914494020395
556,0.6226925436276705
557,0.636882564744238
558,0.272195787541209
559,0.2659277094088132
560,0.6142328069798524
561,0.2856917091929477
562,0.2820853997348966
563,0.33560623059715833
564,0.31290056425173207
565,0.7200170751835728
566,0.38695394983043113
567,0.4112022923444313
568,0.27680331083424675
569,0.3779799325120902
570,0.31734633262741135
571,0.28802254361956076
572,0.2748702421439111
573,0.6735586468871033
574,0.2880591540816308
575,0.7209373684973993
576,0.2698955371213948
577,0.27907680490310793
578,0.2803717136333245
579,0.2705245933553779
580,0.49322649347907055
581,0.2911264960713176
582,0.26241963573644705
583,0.2920208682086972
584,0.37011681305533284
585,0.26289095327887657
586,0.2757510176812343
587,0.6889749947894144
588,0.31058003401232886
589,0.2966839095893995
590,0.2686569386986949
591,0.38730206826590413
592,0.38742715121766086
593,0.4101136317903816
594,0.1487455792254565
595,0.26418419791133263
596,0.30711290878750575
597,0.2987916413069784
598,0.464010465970655
599,0.37254379579101476
600,0.27784635797864365
601,0.2985293041519325
602,0.29590833916099046
603,0.27546277598376684
604,0.4556676986709809
605,0.46086263836573865
606,0.36967409765597947
607,0.5228139649004261
608,0.33245755545532296
609,0.2796993985646035
610,0.5018763878842386
611,0.4764102286649079
612,0.4897392150810314
613,0.2973158664895458
614,0.291744550846446
615,0.44728787746337284
616,0.28208531007403637
617,0.28991542318268143
618,0.5732090465119642
619,0.3505960109023826
620,0.3684479122980997
621,0.2801593471036852
622,0.4845426041022981
623,0.2678589540779865
624,0.26532472945427
625,0.17309609352948852
626,0.4632577223066105
627,0.2514213209494735
628,0.28276395779473434
629,0.5282525795178866
630,0.46343208525088947
631,0.2785367190409002
632,0.4731242660109275
633,0.2867794374972785
634,0.3214232741126728
635,0.2635967248756899
636,0.7091914789838463
637,0.4270842378193615
638,0.7122680806809379
639,0.3807151611363007
640,0.4187999373333576
641,0.4449466453177835
642,0.4287460719046491
643,0.45607042712665813
644,0.30658160001675117
645,0.3361499606403564
646,0.51045638079408
647,0.35261680403112283
648,0.300061360247248
649,0.2741092841395057
650,0.36766083724632326
651,0.2512821573699577
652,0.3106298124072991
653,0.32394608760622756
654,0.31181238854902504
655,0.36125034806870227
656,0.2995264655330875
657,0.28774849579923
658,0.31775969729639053
659,0.4698338623849573
660,0.2908276191006332
661,0.3041867568830956
662,0.6471781033350519
663,0.5402080240281364
664,0.3344132793876772
665,0.4773509607660637
666,0.47259685865736367
667,0.375150824312541
668,0.1568480147219806
669,0.2696109047513092
670,0.33298785074821313
671,0.4911769490276025
672,0.45829083388297603
673,0.2897530585863664
674,0.46293537829919196
675,0.27452834659643943
676,0.38117306386360655
677,0.26184842284181004
678,0.3925414755040107
679,0.3369234124684658
680,0.24789811911674198
681,0.3682210407314842
682,0.38112843206433344
683,0.38671397921543177
684,0.28661449761007324
685,0.17852151842546365
686,0.3050220586250755
687,0.46710505751844095
688,0.29317819934420813
689,0.3437486212003948
690,0.6304897243994195
691,0.25776144759875336
692,0.28799053669407665
693,0.6558683285229366
694,0.5114431413984927
695,0.3435825862791816
696,0.3815890736533985
697,0.3139849974810184
698,0.2704893510261076
699,0.3133619275694872
700,0.8352673591535088
701,0.30716711567544613
702,0.34472370809592917
703,0.2532353586056923
704,0.2798323470815893
705,0.3475883222308398
706,0.2526696521460641
707,0.2979787450094649
708,0.34462763096928656
709,0.27945387578296843
710,0.28038081340147714
711,0.6088297242127222
712,0.6109146585930287
713,0.2590625975296609
714,0.28207520540772374
715,0.29768156016189956
716,0.44693886511253
717,0.24606509155326808
718,0.3808297751338421
719,0.25897371172308936
720,0.29383738115404234
721,0.4754841647850832
722,0.25497351011585045
723,0.3085007971497678
724,0.46187686420513735
725,0.2917727423485449
726,0.24127824457335648
727,0.38564797374790305
728,0.26968589909590923
729,0.32808632496620665
730,0.2837975024103501
731,0.45879651465544796
732,0.2638338529824687
733,0.453594155879756
734,0.2695353864926886
735,0.423856058478357
736,0.27658198372556864
737,0.2605250770491908
738,0.26739121339452165
739,0.573212128016021
740,0.2838389173059968
741,0.5232589566992432
742,0.271717366593914
743,0.3228996053612757
744,0.2781895475886859
745,0.25860620157426095
746,0.31219716423756116
747,0.6815374648133741
748,0.2988070288164196
749,0.7167643340222525
750,0.24408222842694827
751,0.46286848881165676
752,0.3302551998575799
753,0.2763794925181829
754,0.5065488314322346
755,0.38577028356430415
756,0.4898185330941266
757,0.22915324224700226
758,0.2502690133814249
759,0.26401079223901047
760,0.6341739319722625
761,0.28729210669068517
762,0.28820959973097193
763,0.6619732901026968
764,0.6743010609176219
765,0.6514891886527497
766,0.490831293280747
767,0.30142928952961434
768,0.28799053669407665
769,0.34400027361334634
770,0.5804896587364413
771,0.3872677656358061
772,0.2858243775776047
773,0.24268663044586763
774,0.4167302026003451
775,0.33701942422642733
776,0.2862270954896244
777,0.38052661220415357
778,0.3043190752358205
779,0.2602776349264075
780,0.31026068174978017
781,0.3861344021767189
782,0.5054978280915952
783,0.2672724011397403
784,0.6370524426240782
785,0.2794717513102514
786,0.2505549442512839
787,0.27968751539345243
788,0.397712805602158
789,0.2679724441997636
790,0.29858143475483856
791,0.34663787394514817
792,0.4820846528594379
793,0.32816658108479985
794,0.4383107536493789
795,0.3156331929455852
796,0.5763031087869002
797,0.27832278671608274
798,0.28708244358655133
799,0.267850382780957
800,0.2555113449624355
801,0.2637984095623758
802,0.1868773047408489
803,0.2449685011052437
804,0.2408356830542952
805,0.28686291255061014
806,0.6202112075621026
807,0.26383374163046563
808,0.2626227733031188
809,0.2736289553641675
810,0.24692803364361285
811,0.4421062747997957
812,0.5820168407795354
813,0.2820516038728702
814,0.3943243246399683
815,0.43537181159175503
816,0.25929694397932157
817,0.3670262478440945
818,0.3488828363241207
819,0.42483509897858907
820,0.33385234190992424
821,0.2653697161951472
822,0.21992912583764995
823,0.43203735173679264
824,0.3303708258399732
825,0.25824800638102224
826,0.2896828940813926
827,0.2849772511363058
828,0.6468568194387673
829,0.27396064592143876
830,0.3132908738390713
831,0.14998671116945295
832,0.2519588675694088
833,0.4329351038487136
834,0.3357861691860788
835,0.2759490504506504
836,0.3053279837259136
837,0.2756419160704631
838,0.6154134911972005
839,0.26598851807370366
840,0.32346732394670125
841,0.3086806735870677
842,0.2816069054809996
843,0.5075208920860887
844,0.3075783715122549
845,0.2683466385256786
846,0.47299894532358516
847,0.3468825516049727
848,0.2467469323035526
849,0.43782397183317173
850,0.27264710960209454
851,0.5696211731662995
852,0.2780683026399991
853,0.2900808857460892
854,0.2803114075688092
855,0.32379541999229006
856,0.16789918708320178
857,0.4807981863072514
858,0.2874189924368806
859,0.5346066858659763
860,0.474308840178991
861,0.2674984946008175
862,0.27277569001251756
863,0.2688651585020794
864,0.39888035640523717
865,0.54374233304305
866,0.5789748985120508
867,0.28131669704887596
868,0.7210233177967457
869,0.2762627153929831
870,0.7604368884389071
871,0.32602632767498
872,0.31954007838052845
873,0.5388555609346779
874,0.4769904498339938
875,0.49621530942524417
876,0.38907336069598014
877,0.48778454174250835
878,0.26368293757972644
879,0.20278266766670638
880,0.5120403933373833
881,0.43994787137387914
882,0.38475936508650427
883,0.5242284191701262
884,0.27926640240957895
885,0.5720885891435707
886,0.41347710237334334
887,0.2851876652965732
888,0.34303490079565446
889,0.6549020617655211
890,0.44447108218597603
891,0.2745622960765372
892,0.26886628663725703
893,0.2736208643808876
894,0.36555892028201725
895,0.28128626183758215
896,0.39340918173989087
897,0.3366684651541128
898,0.3838779835590146
899,0.549858570603418
900,0.6931704885125355
901,0.6098487906947805
902,0.2586437763596963
903,0.3513420549094496
904,0.4172253738303378
905,0.32309394042767975
906,0.7219862471136493
907,0.7262578746460803
908,0.2821819278042685
909,0.2755286283549411
910,0.26007670245842485
911,0.31575952968144294
912,0.26443195081095866
913,0.26901482333724014
914,0.43439699734733156
915,0.34281961042563447
916,0.4959180402381291
917,0.36270317038862004
918,0.3204745282828908
919,0.2685598047092805
920,0.27602831915938497
921,0.16976043763745122
922,0.5074009156196299
923,0.2986743872318945
924,0.28500442990402486
925,0.17502927780093697
926,0.2622268928897295
927,0.27170452033386694
928,0.4292663476288699
929,0.27968751539345243
930,0.3617096990772576
931,0.6470670778396659
932,0.26746402274987335
933,0.41765244716561734
934,0.1495260504532287
935,0.4297507953707561
936,0.36922948557058727
937,0.3255316487522986
938,0.3768604859860336
939,0.41744677827520277
940,0.27266002954452584
941,0.29562092319535344
942,0.6105387751312631
943,0.5178314614925885
944,0.5654739854738594
945,0.617410280681739
946,0.27217659346016737
947,0.4477230355098024
948,0.7062139967941689
949,0.27295037018004803
950,0.3256468642214923
951,0.2718234607025968
952,0.2797708298981724
953,0.27929176820531426
954,0.6426758168248418
955,0.49747445660311956
956,0.4041060413382946
957,0.4014089109265455
958,0.25706027849269975
959,0.34700922603949663
960,0.29253987427990336
961,0.27809565003896597
962,0.5172994905189919
963,0.3675615324830298
964,0.25265541409313874
965,0.24287467545693056
966,0.30546052941771834
967,0.2982569423712516
968,0.28782588298018813
969,0.7298956782544214
970,0.44957950516791384
971,0.2678648191631952
972,0.24823003852820105
973,0.2790811018915046
974,0.2835099181284459
975,0.2639196569376284
976,0.28005543368603175
977,0.7372783715141886
978,0.2559437173070751
979,0.38424777045761505
980,0.5539684694909286
981,0.2617868234435491
982,0.49403214094158754
983,0.2749467767463294
984,0.26401011543939634
985,0.5151497927808808
986,0.3247792955775306
987,0.30240514139256425
988,0.2576402808239662
989,0.43298516906226103
990,0.42508808247414115
991,0.31107363567751545
992,0.2680813288335002
993,0.36070528532954993
994,0.2374328940374883
995,0.3590210306960835
996,0.30179220006205465
997,0.26859276866972215
998,0.5555486877576298
